m_code,loc,m_name,m_type
M1,NULL,이마트 여의도점,1
M10,NULL,롯데백화점 영등포점,1
M11,NULL,이마트 이수점,1
M12,NULL,이마트 신도림점,1
M13,NULL,이마트 성수점,1
M14,NULL,롯데백화점 미아점,1
M15,NULL,이마트 왕십리점,1
M16,NULL,롯데백화점 관악점,1
M17,NULL,뉴코아아울렛 강남점,1
M18,NULL,신세계백화점 강남점,1
M19,NULL,롯데마트 강변점,1
M2,NULL,홈플러스 영등포점,1
M20,NULL,롯데백화점 강남점,1
M21,NULL,롯데마트 서울역점,1
M22,NULL,이마트 역삼점,1
M23,NULL,이마트 자양점,1
M24,NULL,홈플러스 잠실점,1
M25,NULL,롯데백화점 잠실점,1
M26,NULL,이마트 명일점,1
M27,NULL,홈플러스 강동점,1
M28,NULL,롯데백화점 청량리점,1
M29,NULL,홈플러스 동대문점,1
M3,NULL,이마트 용산점,1
M30,NULL,NC백화점 불광점,1
M31,NULL,이마트 은평점,1
M32,NULL,홈플러스 면목점,1
M33,NULL,이마트 상봉점,1
M34,NULL,롯데백화점 노원점,1
M35,NULL,홈플러스 중계점,1
M36,NULL,이마트 목동점,1
M37,NULL,홈플러스 목동점,1
M38,NULL,현대백화점 신촌점,1
M39,NULL,이마트 창동점,1
M4,NULL,홈플러스 월드컵점,1
M40,NULL,홈플러스 방학점,1
M41,NULL,이마트 가양점,1
M42,NULL,현대백화점 미아점,1
M5,NULL,농협하나로마트 신촌점,1
M6,NULL,NC백화점 신구로점,1
M7,NULL,이마트 미아점,1
M8,NULL,홈플러스 시흥점,1
M9,NULL,홈플러스 독산점,1
T1,NULL,후암시장,0
T10,NULL,송화시장,0
T11,NULL,현대시장,0
T12,NULL,고척근린시장,0
T13,NULL,남구로시장,0
T14,NULL,남성시장,0
T15,NULL,원당종합시장,0
T16,NULL,금남시장,0
T17,NULL,노룬산골목시장,0
T18,NULL,방배종합시장,0
T19,NULL,청담삼익시장,0
T2,NULL,대림중앙시장,0
T20,NULL,자양골목시장,0
T21,NULL,도곡시장,0
T22,NULL,방이시장,0
T23,NULL,마천중앙시장,0
T24,NULL,청량리종합시장,0
T25,NULL,수유재래시장,0
T26,NULL,암사종합시장,0
T27,NULL,둔촌역전통시장,0
T28,NULL,대조시장,0
T29,NULL,경동시장,0
T3,NULL,용문시장,0
T30,NULL,대림시장,0
T31,NULL,숭인시장,0
T32,NULL,우림시장,0
T33,NULL,동원시장,0
T34,NULL,공릉동 도깨비시장,0
T35,NULL,상계중앙시장,0
T36,NULL,인왕시장,0
T37,NULL,목3동시장,0
T38,NULL,신영시장,0
T39,NULL,서울중앙시장,0
T4,NULL,망원시장,0
T40,NULL,신창시장,0
T41,NULL,화곡본동시장,0
T42,NULL,돈암제일시장,0
T5,NULL,마포농수산물시장,0
T6,NULL,통인시장,0
T7,NULL,광장시장,0
T8,NULL,남대문시장,0
T9,NULL,뚝도시장,0
